TreeMonSet,Rarity,%,Pokemon,Level
City,common,50,ROOKIDEE,10
City,common,15,ROOKIDEE,10
City,common,15,GRUBBIN,10
City,common,10,EMOLGA,10
City,common,5,SCIZOR,10
City,common,5,CHATOT,10
City,rare,50,CHATOT,10
City,rare,15,GRUBBIN,10
City,rare,15,GRUBBIN,10
City,rare,10,EMOLGA,10
City,rare,5,ROOKIDEE,10
City,rare,5,SCIZOR,10
Canyon,common,50,WOOBAT,10
Canyon,common,15,TEDDIURSA,10
Canyon,common,15,TEDDIURSA,10
Canyon,common,10,SIZZLIPEDE,10
Canyon,common,5,NOIBAT,10
Canyon,common,5,KLEAVOR,10
Canyon,rare,50,NOIBAT,10
Canyon,rare,15,SIZZLIPEDE,10
Canyon,rare,15,SIZZLIPEDE,10
Canyon,rare,10,TEDDIURSA,10
Canyon,rare,5,WOOBAT,10
Canyon,rare,5,KLEAVOR,10
Town,common,50,PIKIPEK,10
Town,common,15,PIKIPEK,10
Town,common,15,BLIPBUG,10
Town,common,10,YUNGOOS,10
Town,common,5,PIKIPEK,10
Town,common,5,YANMA,10
Town,rare,50,YANMA,10
Town,rare,15,BLIPBUG,10
Town,rare,15,BLIPBUG,10
Town,rare,10,YUNGOOS,10
Town,rare,5,PIKIPEK,10
Town,rare,5,YANMA,10
Route,common,50,ROOKIDEE,10
Route,common,15,YUNGOOS,10
Route,common,15,PIKIPEK,10
Route,common,10,STUFFUL,10
Route,common,5,FARFETCHD,10
Route,common,5,ORANGURU,10
Route,rare,50,PIKIPEK,10
Route,rare,15,FARFETCHD,10
Route,rare,15,STUFFUL,10
Route,rare,10,STUFFUL,10
Route,rare,5,FARFETCHD,10
Route,rare,5,ORANGURU,10
Kanto,common,50,SNOM,10
Kanto,common,15,EMOLGA,10
Kanto,common,15,WOOBAT,10
Kanto,common,10,SIZZLIPEDE,10
Kanto,common,5,SIZZLIPEDE,10
Kanto,common,5,LITWICK,10
Kanto,rare,50,SIZZLIPEDE,10
Kanto,rare,15,EMOLGA,10
Kanto,rare,15,NOIBAT,10
Kanto,rare,10,SNOM,10
Kanto,rare,5,SNOM,10
Kanto,rare,5,LITWICK,10
Lake,common,50,ORICORIO_POM,10
Lake,common,15,EXEGGCUTE,10
Lake,common,15,DEWPIDER,10
Lake,common,10,YANMA,10
Lake,common,5,SCYTHER,10
Lake,common,5,FARFETCHD,10
Lake,rare,50,FARFETCHD,10
Lake,rare,15,DEWPIDER,10
Lake,rare,15,SCYTHER,10
Lake,rare,10,YANMA,10
Lake,rare,5,EXEGGCUTE,10
Lake,rare,5,ORICORIO_POM,10
Forest,common,50,CHERUBI,10
Forest,common,15,MORELULL,10
Forest,common,15,BOUNSWEET,10
Forest,common,10,FOMANTIS,10
Forest,common,5,FOMANTIS,10
Forest,common,5,SCYTHER,10
Forest,rare,50,BOUNSWEET,10
Forest,rare,15,CHERUBI,10
Forest,rare,15,MORELULL,10
Forest,rare,10,FOMANTIS,10
Forest,rare,5,FOMANTIS,10
Forest,rare,5,SCYTHER,10
Rock,rock,90,DWEBBLE,15
Rock,rock,10,TIRTOUGA,15
