pokemon,move,TM
ABOMASNOW,BLIZZARD,BLIZZARD
ABOMASNOW,BLIZZARD,BLIZZARD
ABOMASNOW,EARTHQUAKE,EARTHQUAKE
ABOMASNOW,ENERGY_BALL,ENERGY_BALL
ABOMASNOW,FLASH,FLASH
ABOMASNOW,GIGA_DRAIN,GIGA_DRAIN
ABOMASNOW,GIGA_IMPACT,GIGA_IMPACT
ABOMASNOW,HAIL,HAIL
ABOMASNOW,HIDDEN_POWER,HIDDEN_POWER
ABOMASNOW,HYPER_BEAM,HYPER_BEAM
ABOMASNOW,ICE_BEAM,ICE_BEAM
ABOMASNOW,ICE_PUNCH,ICE_PUNCH
ABOMASNOW,ICE_PUNCH,ICE_PUNCH
ABOMASNOW,RAIN_DANCE,RAIN_DANCE
ABOMASNOW,RETURN,RETURN
ABOMASNOW,ROCK_SLIDE,ROCK_SLIDE
ABOMASNOW,SHADOW_BALL,SHADOW_BALL
ABOMASNOW,SLEEP_TALK,SLEEP_TALK
ABOMASNOW,STRENGTH,STRENGTH
ABOMASNOW,SUBSTITUTE,SUBSTITUTE
ABOMASNOW,TOXIC,TOXIC
ABOMASNOW,WATER_PULSE,WATER_PULSE
AEGISLASH,IRON_HEAD,IRON_HEAD
AEGISLASH,NIGHT_SLASH,NIGHT_SLASH
AGGRON,BLIZZARD,BLIZZARD
AGGRON,BODY_SLAM,BODY_SLAM
AGGRON,CUT,CUT
AGGRON,DARK_PULSE,DARK_PULSE
AGGRON,DIG,DIG
AGGRON,DOUBLE_EDGE,DOUBLE_EDGE
AGGRON,EARTHQUAKE,EARTHQUAKE
AGGRON,FIRE_BLAST,FIRE_BLAST
AGGRON,FIRE_PUNCH,FIRE_PUNCH
AGGRON,FLAMETHROWER,FLAMETHROWER
AGGRON,GIGA_IMPACT,GIGA_IMPACT
AGGRON,HEADBUTT,HEADBUTT
AGGRON,HIDDEN_POWER,HIDDEN_POWER
AGGRON,HYDRO_PUMP,HYDRO_PUMP
AGGRON,HYPER_BEAM,HYPER_BEAM
AGGRON,ICE_BEAM,ICE_BEAM
AGGRON,ICE_PUNCH,ICE_PUNCH
AGGRON,IRON_HEAD,IRON_HEAD
AGGRON,IRON_HEAD,IRON_HEAD
AGGRON,RAIN_DANCE,RAIN_DANCE
AGGRON,RETURN,RETURN
AGGRON,ROCK_SLIDE,ROCK_SLIDE
AGGRON,ROCK_SLIDE,ROCK_SLIDE
AGGRON,SANDSTORM,SANDSTORM
AGGRON,SHOCK_WAVE,SHOCK_WAVE
AGGRON,SLEEP_TALK,SLEEP_TALK
AGGRON,STRENGTH,STRENGTH
AGGRON,SUBSTITUTE,SUBSTITUTE
AGGRON,SUNNY_DAY,SUNNY_DAY
AGGRON,SURF,SURF
AGGRON,THUNDER,THUNDER
AGGRON,THUNDERBOLT,THUNDERBOLT
AGGRON,TOXIC,TOXIC
AGGRON,WATER_PULSE,WATER_PULSE
AGGRON,WHIRLPOOL,WHIRLPOOL
ALOMOMOLA,BLIZZARD,BLIZZARD
ALOMOMOLA,CALM_MIND,CALM_MIND
ALOMOMOLA,HAIL,HAIL
ALOMOMOLA,HIDDEN_POWER,HIDDEN_POWER
ALOMOMOLA,HYDRO_PUMP,HYDRO_PUMP
ALOMOMOLA,ICE_BEAM,ICE_BEAM
ALOMOMOLA,PSYCHIC_M,PSYCHIC_M
ALOMOMOLA,RAIN_DANCE,RAIN_DANCE
ALOMOMOLA,RETURN,RETURN
ALOMOMOLA,SHADOW_BALL,SHADOW_BALL
ALOMOMOLA,SLEEP_TALK,SLEEP_TALK
ALOMOMOLA,SUBSTITUTE,SUBSTITUTE
ALOMOMOLA,SURF,SURF
ALOMOMOLA,TOXIC,TOXIC
ALOMOMOLA,WATER_PULSE,WATER_PULSE
ALOMOMOLA,WATERFALL,WATERFALL
ALOMOMOLA,WHIRLPOOL,WHIRLPOOL
AMAURA,BLIZZARD,BLIZZARD
AMAURA,BLIZZARD,BLIZZARD
AMAURA,BODY_SLAM,BODY_SLAM
AMAURA,CALM_MIND,CALM_MIND
AMAURA,DARK_PULSE,DARK_PULSE
AMAURA,FLASH,FLASH
AMAURA,HAIL,HAIL
